Unnamed: 0,Text,Tags
20,What is source - code and binaries in sentence: Both source - code and binaries for several operating systems are freely available for non - commercial use at : http://bioinformatics.ua.pt/software/mafco . http://hgdownload-test.cse.ucsc.edu/goldenPath/hg18/multiz28wayhttp://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/multiz46wayhttp://hgdownload-test.cse.ucsc.edu/goldenPath/hg19/multiz100wayhttp://bioinformatics.ua.pt/software/mafcohttps://github.com/lumiratos/mafcohttps://github.com/lumiratos/bioruby-mafData Availability,12
21,What is MAFCO in sentence: The MAFCO compression tool can be found at : http://bioinformatics.ua.pt/software/mafco ; https://github.com/lumiratos/mafco .,1
22,"What is PyPhi in sentence: Here , we introduce PyPhi , a Python software package that implements this framework for causal analysis and unfolds the full cause - effect structure of discrete dynamical systems of binary elements .",6
23,"What is Python in sentence: Here , we introduce PyPhi , a Python software package that implements this framework for causal analysis and unfolds the full cause - effect structure of discrete dynamical systems of binary elements .",10
24,What is PyPhi in sentence: PyPhi is open - source and licensed under the GPLv 3 ; the source code is hosted on GitHub at https://github.com/wmayner/pyphi .,7
25,What is GitHub in sentence: PyPhi is open - source and licensed under the GPLv 3 ; the source code is hosted on GitHub at https://github.com/wmayner/pyphi .,3
26,"What is PyPhi in sentence: Here we describe PyPhi , a Python software package that implements IIT ’ s framework for causal analysis and unfolds the full CES of discrete Markovian dynamical systems of binary elements .",6
27,"What is Python in sentence: Here we describe PyPhi , a Python software package that implements IIT ’ s framework for causal analysis and unfolds the full CES of discrete Markovian dynamical systems of binary elements .",10
28,"What is coXpress in sentence: Here we describe coXpress , an R package that allows researchers to identify groups of genes that are differentially co - expressed .",6
29,"What is R in sentence: Here we describe coXpress , an R package that allows researchers to identify groups of genes that are differentially co - expressed .",10
30,What is coXpress in sentence: We have developed coXpress as a means of identifying groups of genes that are differentially co - expressed .,6
31,"What is coXpress in sentence: Here we describe coXpress , a simple and easy to use package that allows users to explore differential co - expression in an intuitive way .",6
32,"What is CoXpress in sentence: CoXpress uses hierarchical cluster analysis to explore the relationship between genes , cutting the tree to form groups of genes that are co - expressed .",8
33,What is CoXpress in sentence: CoXpress is released as a package for R .,6
34,What is R in sentence: CoXpress is released as a package for R .,10
35,What is CoXpress in sentence: CoXpress is written in the native R language and has been fully tested on both windows and linux .,6
36,What is R in sentence: CoXpress is written in the native R language and has been fully tested on both windows and linux .,11
37,What is windows in sentence: CoXpress is written in the native R language and has been fully tested on both windows and linux .,5
38,What is linux in sentence: CoXpress is written in the native R language and has been fully tested on both windows and linux .,5
39,"What is coXpress in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,7
40,"What is Windows in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,5
41,"What is Linux in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,5
42,"What is R in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,11
43,"What is R in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,10
44,"What is gplots in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,8
45,"What is gtools in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,8
46,"What is gdata in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,8
47,"What is hu 6800 in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,8
48,"What is hgu 95av 2 in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,8
49,"What is plotrix in sentence: "" • Project Name : coXpress • Project Home Page : http://coxpress.sf.net • Operating Systems : Windows , Linux • Programming Language : R • Other Requirements : R , gplots , gtools , gdata ( for heatmaps ) , hu 6800 , hgu 95av 2 , plotrix ( for examples ) • License : GNU GPL """,8
50,"What is Portable System for the Analysis of Metabolic Models in sentence: In order to solve this problem , here we developed a Portable System for the Analysis of Metabolic Models ( PSAMM ) , a new open - source software package that supports the integration of heterogeneous metadata in model annotations and provides a user - friendly interface for the analysis of metabolic models .",0
51,"What is PSAMM in sentence: PSAMM is independent of paid software environments like MATLAB , and all its dependencies are freely available for academic users .",2
52,"What is MATLAB in sentence: PSAMM is independent of paid software environments like MATLAB , and all its dependencies are freely available for academic users .",10
53,"What is Portable System for the Analysis of Metabolic Models in sentence: Here , we present a Portable System for the Analysis of Metabolic Models ( PSAMM ) , an open source software package that was implemented to support the iterative curation of GEMs by connecting model annotations with mathematical simulations .",0
54,What is PSAMM in sentence: PSAMM was developed as an integrated software package that supports calling simulation functions using simple one - line commands .,0
55,"What is PSAMM in sentence: Besides the availability of diverse functions and implementations of model import / export , model checking , and constraint - based analysis , a unique feature of PSAMM is the availability of easily accessible help information that assists the users in selecting program functions and parameter values .",2
56,"What is CloVR - ITS in sentence: Here we introduce CloVR - ITS , an automated pipeline for comparative analysis of internal transcribed spacer ( ITS ) pyrosequences amplified from metagenomic DNA isolates and representing fungal species .",6
57,"What is CloVR - ITS in sentence: CloVR - ITS is made available as a pre - installed , automated , and portable software pipeline for cloud - friendly execution as part of the CloVR virtual machine package ( http://clovr.org ) .",7
58,"What is CloVR in sentence: CloVR - ITS is made available as a pre - installed , automated , and portable software pipeline for cloud - friendly execution as part of the CloVR virtual machine package ( http://clovr.org ) .",2
59,"What is CloVR - ITS in sentence: Here we present CloVR - ITS , a standard operating procedure ( SOP ) for ITS amplicon sequence analysis for fungal diversity studies .",6
60,What is CloVR - ITS in sentence: CloVR - ITS has been designed to effectively process sequence data representing any contiguous segment of the ITS region ( i.e. ITS 1 or ITS 2 ) and can perform comparative analysis of hundreds of samples .,6
61,"What is Redirector in sentence: We present Redirector , a new Flux Balance Analysis - based framework for identifying engineering targets to optimize metabolite production in complex pathways .",6
62,What is Redirector in sentence: We compare the final set of flux values resulting from this Redirector optimization to fluxes resulting from the optimization for biomass .,9
63,"What is Redirector in sentence: The Redirector framework provides a new capability in modeling metabolic alterations , using the FBA objective .",8
64,"What is Redirector in sentence: To demonstrate its capacity to optimize challenging pathways , we have applied Redirector to the production of myristoyl - CoA , examining the highest growth parameter design as well as the dependency analysis of multiple designs .",9
65,What is Redirector in sentence: The Redirector Package including operational software code and metabolic network model files used for this publication are available at https://github.com//bionomicron/Redirector.git .,7
66,"What is ENCORE in sentence: Here , we present an easily accessible software toolkit , called ENCORE , which can be used to compare conformational ensembles generated either from simulations alone or synergistically with experiments .",6
67,"What is ENCORE in sentence: ENCORE is freely available and extendable , integrates with the established MDAnalysis software package , reads ensemble data in many common formats , and can work with large trajectory files .",8
68,"What is MDAnalysis in sentence: ENCORE is freely available and extendable , integrates with the established MDAnalysis software package , reads ensemble data in many common formats , and can work with large trajectory files .",9
69,"What is ENCORE in sentence: The library , called ENCORE ( http://encore-similarity.github.io/encore ) , interfaces with the MDAnalysis molecular analysis toolkit [14] and can be used both as a Python library and from the command line .",8
70,"What is MDAnalysis molecular analysis toolkit in sentence: The library , called ENCORE ( http://encore-similarity.github.io/encore ) , interfaces with the MDAnalysis molecular analysis toolkit [14] and can be used both as a Python library and from the command line .",8
71,"What is Python in sentence: The library , called ENCORE ( http://encore-similarity.github.io/encore ) , interfaces with the MDAnalysis molecular analysis toolkit [14] and can be used both as a Python library and from the command line .",10
72,"What is ENCORE in sentence: ENCORE is freely available ( http://encore-similarity.github.io/encore ) , together with its documentation and several examples on how to use it , and is distributed under the GNU general public license , version 3 .",7
73,"What is PhyloBot in sentence: Here we present PhyloBot , a web - based software tool that makes ancestral sequence reconstruction easy .",0
74,"What is PhyloBot in sentence: PhyloBot runs in a web browser , and is available at the following URL : http://www.phylobot.com .",1
75,What is PhyloBot in sentence: PhyloBot is a web portal that automates the reconstruction of ancestral amino acid sequences .,2
76,"What is PhyloBot in sentence: Users are welcome to use an instance of PhyloBot available at http://www.phylobot.com , or launch their own instance of PhyloBot using its open - source code .",1
77,"What is PhyloBot in sentence: Users are welcome to use an instance of PhyloBot available at http://www.phylobot.com , or launch their own instance of PhyloBot using its open - source code .",2
78,"What is PhyloBot in sentence: PhyloBot is available to use at http://www.phylobot.com , and its source code is available at https://github.com/vhsvhs/phylobot-django .",1
79,"What is Mindboggle in sentence: We have recently developed Mindboggle as a fully automated , feature - matching approach to assign anatomical labels to cortical structures and activity in human brain MRI data .",0
80,What is Mindboggle in sentence: Each brain image voxel of each of 20 human subjects is assigned a label by each of the remaining 19 atlases using Mindboggle .,3
81,"What is Mindboggle in sentence: In this paper , we have chosen to extend the use of an individual atlas to multiple atlases in a recently introduced , fully automated , feature - based nonlinear labeling method called Mindboggle ( freely downloadable , open source Matlab code ) [63,85] .",0
82,"What is Matlab in sentence: In this paper , we have chosen to extend the use of an individual atlas to multiple atlases in a recently introduced , fully automated , feature - based nonlinear labeling method called Mindboggle ( freely downloadable , open source Matlab code ) [63,85] .",10
83,"What is Mindboggle in sentence: Mindboggle is a freely downloadable , open source software package written in Matlab ( version 6 , release 13 , with the Image Processing Toolbox , The Mathworks Inc . , USA ) and has been tested on different models of desktop and laptop computers running different distributions of Linux , as well as MacOSX and Windows .",0
84,"What is Matlab in sentence: Mindboggle is a freely downloadable , open source software package written in Matlab ( version 6 , release 13 , with the Image Processing Toolbox , The Mathworks Inc . , USA ) and has been tested on different models of desktop and laptop computers running different distributions of Linux , as well as MacOSX and Windows .",11
85,"What is Image Processing Toolbox in sentence: Mindboggle is a freely downloadable , open source software package written in Matlab ( version 6 , release 13 , with the Image Processing Toolbox , The Mathworks Inc . , USA ) and has been tested on different models of desktop and laptop computers running different distributions of Linux , as well as MacOSX and Windows .",9
86,"What is Linux in sentence: Mindboggle is a freely downloadable , open source software package written in Matlab ( version 6 , release 13 , with the Image Processing Toolbox , The Mathworks Inc . , USA ) and has been tested on different models of desktop and laptop computers running different distributions of Linux , as well as MacOSX and Windows .",5
87,"What is MacOSX in sentence: Mindboggle is a freely downloadable , open source software package written in Matlab ( version 6 , release 13 , with the Image Processing Toolbox , The Mathworks Inc . , USA ) and has been tested on different models of desktop and laptop computers running different distributions of Linux , as well as MacOSX and Windows .",5
88,"What is Windows in sentence: Mindboggle is a freely downloadable , open source software package written in Matlab ( version 6 , release 13 , with the Image Processing Toolbox , The Mathworks Inc . , USA ) and has been tested on different models of desktop and laptop computers running different distributions of Linux , as well as MacOSX and Windows .",5
89,What is HMMER in sentence: A HMMER web server ( http://hmmer.janelia.org ) has been designed and implemented such that most protein database searches return within a few seconds .,1
90,"What is HMMER in sentence: We have developed the HMMER web site ( http://hmmer.janelia.org ) to not only provide downloadable HMMER binaries , documentation and source code as it has done in the past , but now also to provide an interface for performing protein sequence searches with near interactive response times .",1
91,"What is HMMER in sentence: We have developed the HMMER web site ( http://hmmer.janelia.org ) to not only provide downloadable HMMER binaries , documentation and source code as it has done in the past , but now also to provide an interface for performing protein sequence searches with near interactive response times .",2
92,"What is Bamgineer in sentence: To address this need , we have developed Bamgineer , a tool written in Python to introduce user - defined haplotype - phased allele - specific copy number events into an existing Binary Alignment Mapping ( BAM ) file , with a focus on targeted and exome sequencing experiments .",0
93,"What is Python in sentence: To address this need , we have developed Bamgineer , a tool written in Python to introduce user - defined haplotype - phased allele - specific copy number events into an existing Binary Alignment Mapping ( BAM ) file , with a focus on targeted and exome sequencing experiments .",11
94,"What is Bamgineer in sentence: As proof - of - principle , we applied Bamgineer to a single high - coverage ( mean : 220X ) exome sequence file from a blood sample to simulate copy number profiles of 3 exemplar tumors from each of 10 tumor types at 5 tumor cellularity levels ( 20 - 100 % , 150 BAM files in total ) .",3
95,"What is Bamgineer in sentence: Here we introduce Bamgineer , a tool to modify existing BAM files to precisely model allele - specific and haplotype - phased CNVs ( Fig 1 ) .",0
96,"What is Bamgineer in sentence: We implemented parallelization of the Bamgineer algorithm for both standalone and high performance computing cluster environments , significantly improving the scalability of the algorithm .",0
97,"What is scPipe in sentence: To this end , we developed scPipe , an R / Bioconductor package that integrates barcode demultiplexing , read alignment , UMI - aware gene - level quantification and quality control of raw sequencing data generated by multiple protocols that include CEL - seq , MARS - seq , Chromium 10X , Drop - seq and Smart - seq .",6
98,"What is R in sentence: To this end , we developed scPipe , an R / Bioconductor package that integrates barcode demultiplexing , read alignment , UMI - aware gene - level quantification and quality control of raw sequencing data generated by multiple protocols that include CEL - seq , MARS - seq , Chromium 10X , Drop - seq and Smart - seq .",10
99,"What is Bioconductor in sentence: To this end , we developed scPipe , an R / Bioconductor package that integrates barcode demultiplexing , read alignment , UMI - aware gene - level quantification and quality control of raw sequencing data generated by multiple protocols that include CEL - seq , MARS - seq , Chromium 10X , Drop - seq and Smart - seq .",8
100,What is scPipe in sentence: The scPipe R package is available for download from https://www.bioconductor.org/packages/scPipe .,7
101,What is R in sentence: The scPipe R package is available for download from https://www.bioconductor.org/packages/scPipe .,10
102,What is scPipe in sentence: In the remainder of this article we provide an overview of the main features of our scPipe software and demonstrate its use on various in - house generated and publicly available scRNA - seq datasets .,6
103,"What is scPipe in sentence: scPipe is an R [13] / Bioconductor [14] package that can handle data generated from all popular 3 ’ end scRNA - seq protocols and their variants , such as CEL - seq , MARS - seq , Chromium 10X and Drop - seq .",6
104,"What is R in sentence: scPipe is an R [13] / Bioconductor [14] package that can handle data generated from all popular 3 ’ end scRNA - seq protocols and their variants , such as CEL - seq , MARS - seq , Chromium 10X and Drop - seq .",10
105,"What is Bioconductor in sentence: scPipe is an R [13] / Bioconductor [14] package that can handle data generated from all popular 3 ’ end scRNA - seq protocols and their variants , such as CEL - seq , MARS - seq , Chromium 10X and Drop - seq .",8
106,"What is scPipe in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",6
107,"What is R in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",11
108,"What is C + + in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",11
109,"What is Rcpp in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",9
110,"What is C + + in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",10
111,"What is R in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",10
112,"What is Rhtslib in sentence: The scPipe package is written in R and C + + and uses the Rcpp package [ 16 , 17 ] to wrap the C + + code into R functions and the Rhtslib package [18] for BAM input / output .",9
113,What is scPipe in sentence: The scPipe package is available from https://www.bioconductor.org/packages/scPipe .,7
114,"What is MatrixConverter in sentence: We introduce MatrixConverter , a program that helps expedite and facilitate the transformation of raw phenomic character data into discrete character matrices that can be used in most evolutionary inference programs .",0
115,"What is MatrixConverter in sentence: • Methods and Results : MatrixConverter is an open source program written in Java ; a platform - independent binary executable , as well as sample data sets and a user ’ s manual , are available at https://github.com/gburleigh/MatrixConverter/tree/master/distribution .",1
116,"What is Java in sentence: • Methods and Results : MatrixConverter is an open source program written in Java ; a platform - independent binary executable , as well as sample data sets and a user ’ s manual , are available at https://github.com/gburleigh/MatrixConverter/tree/master/distribution .",11
117,What is MatrixConverter in sentence: MatrixConverter is an open source program written in Java .,0
118,What is Java in sentence: MatrixConverter is an open source program written in Java .,11
119,What is source code in sentence: The source code is available at https://github.com/gburleigh/MatrixConverter/ .,12
120,What is interactive DREM in sentence: To address this challenge we have developed a new version of DREM termed interactive DREM ( iDREM ) .,0
121,What is interactive DREM in sentence: To address these issues we developed the interactive DREM ( iDREM ) tool that provides support for more data types and greatly improves the visualization allowing users to interactively query the reconstructed network .,0
122,What is iDREM in sentence: iDREM is implemented using a combination of Java and Javascript .,0
123,What is Java in sentence: iDREM is implemented using a combination of Java and Javascript .,11
124,What is Javascript in sentence: iDREM is implemented using a combination of Java and Javascript .,11
125,"What is iDREM in sentence: The iDREM code and software , with an example input dataset and detailed instructions are available from GitHub ( https://github.com/phoenixding/idrem ) .",1
126,"What is GitHub in sentence: The iDREM code and software , with an example input dataset and detailed instructions are available from GitHub ( https://github.com/phoenixding/idrem ) .",3
127,"What is PoreWalker in sentence: Herein we present PoreWalker , a fully automated method , which detects and fully characterises channels in transmembrane proteins from their 3D structures .",0
128,What is software in sentence: The software is available as a web - based resource at http://www.ebi.ac.uk/thornton-srv/software/PoreWalker/ .,12
129,"What is PoreWalker in sentence: Herein we present PoreWalker , a method to provide a detailed description of the three dimensional geometry of a channel ( or pore ) through a transmembrane protein , given the coordinates of the protein structure .",0
130,"What is PoreWalker in sentence: PoreWalker is fully automated , requiring only the 3D protein coordinates from the PDB file , and so can be applied to any new structure or across all transmembrane proteins in the PDB .",2
131,What is software in sentence: The software is implemented as a web - based resource at http://www.ebi.ac.uk/thornton-srv/software/PoreWalker/ and its source codes will soon be available upon request to the authors .,12
132,What is PoreWalker in sentence: All programs included in the PoreWalker pipeline are developed in - house in C and PERL programming languages .,0
133,What is C in sentence: All programs included in the PoreWalker pipeline are developed in - house in C and PERL programming languages .,11
134,What is PERL in sentence: All programs included in the PoreWalker pipeline are developed in - house in C and PERL programming languages .,11
135,"What is PoreWalker in sentence: We developed PoreWalker , a novel web - available method for the detection and characterisation of channels in transmembrane proteins from their three - dimensional structure .",0
136,"What is PoreWalker in sentence: PoreWalker is fully automated and very user - friendly , requiring as input only the 3D coordinates of a transmembrane protein structure .",2
137,"What is VASP - E in sentence: To fill this gap , this paper describes VASP - E ( Volumetric Analysis of Surface Properties with Electrostatics ) , a novel volumetric comparison tool based on the electrostatic comparison of protein - ligand and protein - protein binding sites .",0
138,What is VASP - E in sentence: These results suggest that VASP - E should prove a useful tool for the characterization of specific binding and the engineering of binding preferences in proteins .,3
139,What is VASP - E in sentence: Our approach identifies regions like these by representing electrostatic isopotentials with volumetric solids generated by the new program VASP - E ( Volumetric Analysis of Surface Properties with Electrostatics ) .,0
140,"What is VASP - E in sentence: Because VASP - E is designed to identify electrostatic influences on specificity , we validate it using families of proteins for which the mechanisms that achieve specificity are well understood and fundamentally electrostatic .",2
141,"What is VASP - E in sentence: VASP - E was developed in ansi C / C + + using gcc ( the Gnu Compiler Collection ) version 4.4.7 , on 64 bit linux - based computing platforms .",0
142,"What is C in sentence: VASP - E was developed in ansi C / C + + using gcc ( the Gnu Compiler Collection ) version 4.4.7 , on 64 bit linux - based computing platforms .",11
143,"What is C + + in sentence: VASP - E was developed in ansi C / C + + using gcc ( the Gnu Compiler Collection ) version 4.4.7 , on 64 bit linux - based computing platforms .",11
144,"What is gcc in sentence: VASP - E was developed in ansi C / C + + using gcc ( the Gnu Compiler Collection ) version 4.4.7 , on 64 bit linux - based computing platforms .",3
145,"What is linux in sentence: VASP - E was developed in ansi C / C + + using gcc ( the Gnu Compiler Collection ) version 4.4.7 , on 64 bit linux - based computing platforms .",5
146,"What is LAMINA in sentence: We have developed LAMINA ( Leaf shApe deterMINAtion ) , a new tool for the automated analysis of images of leaves .",0
147,What is LAMINA in sentence: The LAMINA software has been implemented in Java as a stand - alone graphical application .,0
148,What is Java in sentence: The LAMINA software has been implemented in Java as a stand - alone graphical application .,11
149,What is ImageJ in sentence: A random set of 50 leaves were scanned and analysed using ImageJ [20] and LAMINA .,3
150,What is LAMINA in sentence: A random set of 50 leaves were scanned and analysed using ImageJ [20] and LAMINA .,3
151,"What is LAMINA in sentence: "" Project name : LAMINA : Leaf shApe deterMINAtion Project home page : http://sourceforge.net/projects/lamina Operating system ( s ) : Platform independent Programming language : Java Other requirements : Java 1.4 .x or higher .",1
152,"What is Java in sentence: "" Project name : LAMINA : Leaf shApe deterMINAtion Project home page : http://sourceforge.net/projects/lamina Operating system ( s ) : Platform independent Programming language : Java Other requirements : Java 1.4 .x or higher .",11
153,"What is Java in sentence: "" Project name : LAMINA : Leaf shApe deterMINAtion Project home page : http://sourceforge.net/projects/lamina Operating system ( s ) : Platform independent Programming language : Java Other requirements : Java 1.4 .x or higher .",10
154,"What is LAMINA in sentence: LAMINA uses the Java Advanced Imaging ( JAI ) package http://java.sun.com/javase/technologies/desktop/media/jai/ to support common image file formats , which is bundled with the installation and hence no additional installation should be required .",2
155,"What is Java Advanced Imaging in sentence: LAMINA uses the Java Advanced Imaging ( JAI ) package http://java.sun.com/javase/technologies/desktop/media/jai/ to support common image file formats , which is bundled with the installation and hence no additional installation should be required .",3
156,"What is MSACompro in sentence: We designed and developed a new method , MSACompro , to synergistically incorporate predicted secondary structure , relative solvent accessibility , and residue - residue contact information into the currently most accurate posterior probability - based MSA methods to improve the accuracy of multiple sequence alignments .",0
157,What is MSACompro in sentence: MSACompro is an efficient and reliable multiple protein sequence alignment tool that can effectively incorporate predicted protein structural information into multiple sequence alignment .,2
158,What is software in sentence: The software is available at http://sysbio.rnet.missouri.edu/multicom_toolbox/ .,12
159,"What is MSACompro in sentence: Then we developed MSACompro , a new multiple sequence alignment method , which effectively utilizes predicted secondary structure , relative solvent accessibility , and residue - residue contact map together with posterior alignment probabilities produced by both pair hidden Markov models and partition function as in MSAProbs [4] .",0
160,"What is MSAProbs in sentence: Then we developed MSACompro , a new multiple sequence alignment method , which effectively utilizes predicted secondary structure , relative solvent accessibility , and residue - residue contact map together with posterior alignment probabilities produced by both pair hidden Markov models and partition function as in MSAProbs [4] .",2
161,What is MSACompro in sentence: We tested the MSACompro method against this data with contact predictions .,3
162,"What is Hi - Corrector in sentence: We developed Hi - Corrector , an easy - to - use , open source implementation of the Hi - C data normalization algorithm .",0
163,What is package in sentence: The package is freely available at http://zhoulab.usc.edu/Hi-Corrector/ .,12
164,"What is Hi - Corrector in sentence: We developed Hi - Corrector , a scalable and memory - efficient package for bias removal in HiC data .",0
165,What is Hi - Corrector in sentence: Hi - Corrector can run on any single computer or a computer cluster with limited memory size to complete the task .,2
